"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898186,-36.4661327225907,3.81873143504405e-291,1.94070565136825e-288
"ENSG00000104081",804.838487338129,4.43413656938238,0.121636384406065,36.4540313413105,5.93856217960614e-291,2.91741764676784e-288
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307424,-36.2808238848641,3.24649821955823e-288,1.54344808902739e-285
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941912,36.2707029432327,4.68797353205079e-288,2.15910480985514e-285
"ENSG00000091527",2814.15907315816,-1.81023338577257,0.0499749029758702,-36.2228494299752,2.65984835177606e-287,1.18790439419623e-284
"ENSG00000033867",3157.52042924196,1.93501315031031,0.0535351847027431,36.1446992488132,4.50689778489197e-286,1.95360763393346e-283
"ENSG00000117724",1324.17284690485,-2.82511200625219,0.078171511472929,-36.1399178936246,5.35778353283559e-286,2.2123032093781e-283
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522472,36.1396808426046,5.40391610378692e-286,2.2123032093781e-283
"ENSG00000198959",5110.85796803933,-1.74624587694995,0.048793204251746,-35.7887108200618,1.65485249284225e-280,6.59168001067813e-278
"ENSG00000164938",1395.92210584831,2.31778202055933,0.0656155292094726,35.3236809713137,2.5430570743887e-273,9.86304609535281e-271
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274724,-35.2491412924547,3.53646850171687e-272,1.33642237893085e-269
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896366,-35.1930555341839,2.55367981525041e-271,9.40903327929013e-269
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353570043,35.1779683944837,4.34407225892542e-271,1.5615350476108e-268
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628333,1.51368681107485e-270,5.31159910038598e-268
"ENSG00000088325",1049.74978195443,-3.01204014087113,0.0861136723498871,-34.9774903180642,4.94847109816014e-268,1.69605969871359e-265
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.06906807218876,-34.9512940253644,1.23760619418427e-267,4.1454182022472e-265
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470046,34.8366769554117,6.77554401156767e-266,2.21906594761076e-263
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841917,34.8299159162978,8.57647267233052e-266,2.74782726619146e-263
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182828,34.2452170379772,5.13836406670878e-257,1.61125977904583e-254
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754252,-34.2039042206965,2.11545038677227e-256,6.49531412505203e-254
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807103,-33.8997479311348,6.71887893140732e-252,2.02087423859349e-249
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486005031,33.7243085224947,2.5454511807096e-249,7.50297190025961e-247
"ENSG00000146072",1758.22981855472,2.05910888555034,0.061132127679759,33.6829252261101,1.02810293755143e-248,2.97101590071234e-246
"ENSG00000145632",3262.15452178144,1.54674961547204,0.0460243819592606,33.6071784047241,1.3176941130101e-247,3.73464919952746e-245
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240161,-33.534111250303,1.53477285999347e-246,4.26782686992146e-244
"ENSG00000102024",3591.26703399212,-1.7035465919333,0.0509601087578548,-33.4290219047211,5.19390786263369e-245,1.41755211258325e-242
"ENSG00000135046",4581.91768778281,-1.46401591144951,0.0439329001158032,-33.3239077682214,1.7398487622696e-243,4.66216201060535e-241
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505423,-33.2839410961486,6.59322840157886e-243,1.73519643182981e-240
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119139,33.0977814365285,3.19851269773298e-240,8.27011932266467e-238
"ENSG00000187678",2363.67043987816,1.72415483189413,0.0522701778398973,32.9854403245993,1.31369113068548e-238,3.33813446276596e-236
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545508,-32.941358652112,5.62520534854377e-238,1.40515722757353e-235
"ENSG00000152894",4900.8667898464,1.68614754696904,0.0515037594734988,32.7383391854461,4.44954348137144e-235,1.09295619714087e-232
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453704,32.6580003619409,6.16939827372917e-234,1.49056707800362e-231
